Timestamp,Are you a student at the University of Utah?,What is your gender?,What is your age?,What area do you live in?,How large is the family you live with?,Why did you choose the University of Utah?,What is your home to school commute time?,How many hours do you study a week for all of your classes?,How many classes have you failed in the past during your time at the University of Utah?,Do you receive tutoring for any of your classes?,Do you receive educational support from your family?,"Are you taking any extra, paid classes for any of your classes?",Do you have internet access at home?,Are you in a romantic relationship?,How much free time do you have outside of school?,How much alcohol do you consume on an average weekday?,How much alcohol do you consume on an average weekend?,How is your current health?,Are you religious?
11/27/2016 14:27:50,Yes,Female,21,Urban,Greater than three,Program Preference,30 min to 1 hour,Greater than 10 hours,0,No,No,No,Yes,Yes,2 - low amount,1 - very low amount,2 - low amount,4 - good,Yes
11/27/2016 14:59:32,Yes,Male,23,Urban,Less than or equal to three,Program Preference,15 min to 30 min,5 to 10 hours,1,No,No,No,Yes,No,4 - high amount,1 - very low amount,1 - very low amount,4 - good,No
11/27/2016 14:59:35,Yes,Male,25,Rural,Do not live with family,Program Preference,Less than 15 min,Greater than 10 hours,0,No,No,No,Yes,No,1- very low amount,1 - very low amount,1 - very low amount,4 - good,Yes
11/27/2016 14:59:41,Yes,Male,21,Suburban,Greater than three,Other,15 min to 30 min,Greater than 10 hours,0,No,No,No,Yes,No,4 - high amount,1 - very low amount,2 - low amount,5 - very good,No
11/27/2016 15:00:38,Yes,Male,25,Urban,Less than or equal to three,Program Preference,Less than 15 min,2 to 5 hours,0,No,No,No,Yes,Yes,3 - some amount,1 - very low amount,1 - very low amount,4 - good,Yes
11/27/2016 15:00:52,Yes,Male,24,Suburban,Do not live with family,Other,Less than 15 min,Greater than 10 hours,None,No,Yes,No,Yes,Yes,1- very low amount,1 - very low amount,1 - very low amount,4 - good,Yes
11/27/2016 15:02:29,Yes,Male,40,Suburban,Greater than three,Other,30 min to 1 hour,Greater than 10 hours,1,No,No,No,Yes,Yes,1- very low amount,1 - very low amount,1 - very low amount,3 - okay,Yes
11/27/2016 15:03:08,Yes,Male,26,Urban,Do not live with family,Program Preference,Less than 15 min,Greater than 10 hours,0,No,No,No,Yes,No,2 - low amount,1 - very low amount,1 - very low amount,4 - good,Yes
11/27/2016 15:03:17,Yes,Male,21,Suburban,Less than or equal to three,Program Preference,30 min to 1 hour,5 to 10 hours,None,No,No,No,Yes,No,3 - some amount,1 - very low amount,3 - some amount,4 - good,No
11/27/2016 15:04:17,Yes,Male,22,Suburban,Less than or equal to three,Close to home,15 min to 30 min,5 to 10 hours,0,No,No,No,Yes,No,3 - some amount,2 - low amount,3 - some amount,4 - good,No
